20230421	23:52:58	e887d3bc-5ca9-4adb-87f3-55b437438c4f	POST	$undefined	/states/KS/funfact
20230421	23:54:36	bc5ba08c-a696-4152-8455-30855fd60dfb	POST	$undefined	/states/KS/funfact
20230421	23:55:09	5cae61e0-d585-4cb8-8a14-619c13ecf736	POST	$undefined	/states/KS/funfact
20230421	23:58:18	ef80d60f-a24f-464b-a82f-1639ecae64ca	POST	$undefined	/states/KS/funfact
20230422	00:01:34	e6bf5fba-4d7a-492b-8d27-c30b2ad51f25	POST	$undefined	/states/KS/funfact
20230422	00:01:52	eb5d8612-3542-4a32-a835-ea9a40dd9761	POST	$undefined	/states/KS/funfact
20230422	00:03:42	42eaeb8a-e72c-4433-a62b-0f770597158c	POST	$undefined	/states/KS/funfact
20230422	00:07:10	4220c89a-9027-4bad-a051-97c321d38d41	POST	$undefined	/states/KS/funfact
20230422	00:07:25	f0b07d54-ce3e-4adc-bd05-99d60c945508	POST	$undefined	/states/KS/funfact
20230422	00:07:39	93be17f4-02a2-49c7-b1c2-a7cd4b79ac3b	POST	$undefined	/states/KS/funfact
20230422	00:08:30	bb15b966-34f7-4361-a722-b63a49ebe46f	POST	$undefined	/states/KS/funfact
20230422	00:09:20	0e6ee79d-74da-422f-927c-99a8b566f9df	POST	$undefined	/states/KS/funfact
20230422	00:10:04	3767258a-9c35-45a1-aea0-f1ccb34fe901	POST	$undefined	/states/KS/funfact
20230422	00:10:11	35dec4fc-d08b-424c-b52f-d16f40c33cac	POST	$undefined	/states/KS/funfact
20230422	00:10:18	737291ac-1e56-476d-b074-431802ee734e	POST	$undefined	/states/KS/funfact
20230422	00:10:22	af5c02b5-785d-462d-98f3-e71d08fc8e8a	POST	$undefined	/states/KS/funfact
20230422	00:11:32	ea0680cb-4af3-4c1b-88df-dc7293dc8e3d	POST	$undefined	/states/KS/funfact
20230422	00:12:36	f280eee7-acc8-4ec4-95b9-fbfb92f0f305	POST	$undefined	/states/KS/funfact
20230422	00:12:50	99bc44c6-7481-4104-9400-95fb93c66628	POST	$undefined	/states/KS/funfact
20230422	00:13:02	50836717-607b-4226-aa59-52654922ffef	POST	$undefined	/states/KS/funfact
20230422	00:13:10	84a2401d-dab5-4f80-b3a5-33f3e6f66d65	POST	$undefined	/states/KS/funfact
20230422	00:14:41	fcd0154d-ef8a-4e27-8529-5e231de2e0b0	POST	$undefined	/states/KS/funfact
20230422	00:14:58	195cbde3-f4d2-43db-8cc1-9eda2493a692	POST	$undefined	/states/KS/funfact
20230422	00:17:49	395fa1f2-18f7-4600-b246-d3b55017942d	POST	$undefined	/states/KS/funfact
20230422	00:18:19	4dc854d0-5774-4196-8f7e-b85766c24879	POST	$undefined	/states/KS/funfact
20230422	00:18:57	ca47ab2c-2bbc-4ee7-9308-f6f24d1a314b	POST	$undefined	/states/KS/funfact
20230422	00:19:07	d490104b-ae0a-4ced-836e-2e43318e137c	POST	$undefined	/states/KS/funfact
20230422	00:19:15	27bb4f1d-4190-4926-80bc-a7b45ecde34d	POST	$undefined	/states/KS/funfact
20230422	00:19:27	a91cbc35-5424-4abc-9dc2-7c01ba1dbb69	POST	$undefined	/states/KS/funfact
20230422	00:19:35	f75a0d80-0528-414c-be94-b22b35772448	POST	$undefined	/states/KS/funfact
20230422	00:19:38	5467b8ae-b541-442c-990d-21126cbf2273	POST	$undefined	/states/KS/funfact
20230422	00:21:06	6afc7797-e640-493d-b988-48f029bbdb0c	POST	$undefined	/states/KS/funfact
20230422	00:21:13	7e6afbbf-ebe7-49a0-bd5d-684a1136b430	POST	$undefined	/states/KS/funfact
20230422	00:21:43	78c406e3-9c6c-4708-8f19-6dcc669c8c47	POST	$undefined	/states/KS/funfact
20230422	00:25:48	fcfee46e-16f2-47e1-afed-c31705c844ff	POST	$undefined	/states/KS/funfact
20230422	00:34:05	13f0e163-1efc-4db0-96fd-6324a040952e	POST	$undefined	/states/KS/funfact
